IEG;INDE;IAN;IPS;PONTO_VIRADA;PEDRA;IPV;IPP;IAA;IDA;ano;aluno_id
8.7;7.883752;10.0;7.5;0.0;Ametista;7.75;5.9375;8.500020000000001;7.0;2020;1
6.3;7.319;5.0;6.9;0.0;Ametista;8.1;7.7;7.5;8.8;2021;1
0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;2022;1
7.58170509886757;7.675509353106849;5.0;7.5;0.0;Ametista;7.916665;5.625;10.00002;8.816666666666666;2022;2
0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;2020;2
0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;2021;2
8.9;7.856389666666666;10.0;7.5;0.0;Ametista;8.111113333333334;8.125;7.91667;5.5;2020;3
0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;2022;3
6.9;7.021;10.0;6.3;0.0;Ametista;7.2;7.3;7.1;5.6;2021;3
8.071428571428571;7.117065047619048;5.0;7.5;0.0;Ametista;8.055553333333334;6.25;10.00002;5.083333333333334;2022;4
0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;2021;4
4.1;5.076252;5.0;6.875;0.0;Quartzo;7.75;7.1875;8.000020000000001;0.0;2020;4
8.557504873294347;7.232336307992202;5.0;7.5;0.0;Ametista;7.833336666666667;6.458333333333334;6.41668;7.083333333333334;2022;5
8.0;8.077085;10.0;7.5;0.0;Ametista;8.166665;8.4375;7.50002;7.5;2020;5
7.5;7.399;10.0;7.5;0.0;Ametista;7.4;8.5;7.4;5.4;2021;5
9.333333333333332;7.741668666666667;10.0;7.5;0.0;Ametista;7.5;6.25;9.000020000000001;5.5;2022;6
0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;2020;6
0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;2021;6
0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;2020;7
0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;2021;7
9.314954051796157;7.406743477025898;5.0;7.5;0.0;Ametista;7.91667;5.9375;10.00002;5.583333333333334;2022;7
8.268065268065268;7.289795442501942;5.0;5.0;0.0;Ametista;7.6250025;7.65625;9.16668;7.144444444444445;2022;8
8.6;8.269;10.0;7.5;0.0;Topázio;8.5;8.0;8.8;7.1;2021;8
9.9;8.381390666666666;10.0;4.375;1.0;Ametista;8.94445;8.749999999999998;8.33334;7.333333333333333;2020;8
0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;2020;9
0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;2021;9
6.820377689942907;5.665746204655248;10.0;5.0;0.0;Quartzo;5.50001;3.75;9.000020000000001;2.133333333333333;2022;9
5.2;5.1618745;10.0;3.75;0.0;Quartzo;6.8333325;7.96875;5.83333;0.0;2020;10
0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;2021;10
0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;2022;10
10.0;8.99;10.0;6.3;1.0;Topázio;9.7;7.7;9.0;8.8;2021;11
9.198412698412698;8.464686539682539;5.0;7.5;1.0;Topázio;9.50001;7.083333333333332;8.000020000000001;9.833333333333332;2022;11
10.0;9.712504000000001;10.0;8.125;1.0;Topázio;10.00001;10.0;9.000020000000001;10.0;2020;11
6.0;5.838887333333334;5.0;5.625;0.0;Quartzo;5.277770000000001;5.624999999999999;6.25;6.666666666666667;2020;12
0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;2021;12
0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;2022;12
0.0;3.413;5.0;7.5;0.0;Quartzo;6.0;0.0;8.0;0.8;2021;13
0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;2022;13
0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;2020;13
7.6;6.434585;10.0;6.875;0.0;Ágata;7.916665;8.4375;8.000020000000001;0.0;2020;14
0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;2021;14
0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;2022;14
0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;2021;15
4.0;5.162502;5.0;7.5;0.0;Quartzo;7.25;8.125;8.500020000000001;0.0;2020;15
0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;2022;15
0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;2021;16
9.33862433862434;6.995504201058202;5.0;6.875;0.0;Ágata;6.722219999999999;4.791666666666666;8.500020000000001;6.333333333333334;2022;16
0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;2020;16
